area,area_type,occupation,tot_emp,emp_prse,h_mean,a_mean,h_pct10,h_median,h_pct90,a_pct10,a_median,a_pct90
A5,2,Embalmers,90,23.6,22.19,46160,15.84,21.65,29.85,32940,45040,62100
A5,2,Funeral Attendants,400,11.6,9.89,20580,7.81,9.04,11.89,16250,18800,24720
A5,2,"Morticians, Undertakers, and Funeral Directors",320,12.1,20.53,42690,12.23,19.11,29.63,25440,39740,61630
A5,2,"Hairdressers, Hairstylists, and Cosmetologists",1900,9.3,11.9,24740,8.05,10.43,16.54,16750,21690,34400
A5,2,Manicurists and Pedicurists,160,32.3,10.93,22720,7.85,9.24,17.86,16330,19230,37160
A5,2,Skincare Specialists,50,31.1,21.21,44110,10.31,20.3,34.25,21440,42210,71240
A5,2,Baggage Porters and Bellhops,180,16.2,9.14,19010,7.76,8.74,11.55,16140,18190,24030
A5,2,Tour Guides and Escorts,150,16.5,11.56,24050,8.38,11.06,15.87,17440,23000,33010
A5,2,Childcare Workers,8190,5.7,9.01,18740,7.77,8.8,11.11,16160,18290,23110
A5,2,Personal Care Aides,14840,4,9.06,18850,7.66,8.73,11.37,15930,18160,23640
A5,2,Fitness Trainers and Aerobics Instructors,1250,16.4,11.6,24130,7.88,9.35,18.94,16390,19450,39400
A5,2,Recreation Workers,1780,8.5,10.84,22550,7.86,9.27,16.51,16350,19280,34340
A5,2,Residential Advisors,840,14.5,11.97,24900,8.23,10.94,17.74,17110,22760,36900
A5,2,"Personal Care and Service Workers, All Other",180,30.5,11.12,23130,8.02,10.35,14.53,16690,21530,30230
A5,2,Sales and Related Occupations,125850,1.6,15.34,31900,7.98,10.32,28.49,16600,21460,59250
A5,2,First-Line Supervisors of Retail Sales Workers,13530,2.8,16.2,33690,9.46,14.66,24.26,19680,30480,50470
A5,2,First-Line Supervisors of Non-Retail Sales Workers,2380,6.5,35.88,74630,14.52,29.41,66.39,30200,61170,138080
A5,2,Cashiers,34290,3,8.99,18700,7.78,8.75,11.16,16190,18190,23210
A5,2,Counter and Rental Clerks,3350,8.1,10.75,22370,7.87,9.17,16.77,16370,19070,34880
A5,2,Parts Salespersons,2910,7.3,13.11,27270,8.17,12.22,19.66,16990,25420,40900
A5,2,Retail Salespersons,38980,3.8,11.72,24380,7.91,9.39,18.45,16460,19540,38370
A5,2,Advertising Sales Agents,1050,9.1,21.67,45080,11.02,18.37,34.65,22920,38210,72070
A5,2,Insurance Sales Agents,2830,7.3,28.28,58820,10.93,18,54.31,22740,37450,112960
A5,2,"Securities, Commodities, and Financial Services Sales Agents",1210,10.4,36.46,75830,11.54,24.38,80.09,23990,50710,166580
A5,2,Travel Agents,180,13.4,17.23,35840,10.85,16.42,25.87,22570,34160,53810
A5,2,"Sales Representatives, Services, All Other",3920,7.1,20.13,41860,9.36,17.65,34.97,19480,36720,72740
A5,2,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",2280,9.2,37.1,77160,19.46,29.17,64.61,40470,60680,134400
A5,2,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",13550,3,28.3,58870,11.95,23.16,49.21,24850,48170,102370
A5,2,Demonstrators and Product Promoters,1520,35,*,*,*,*,*,*,*,*
A5,2,Real Estate Brokers,70,31.4,28.52,59320,8.59,18.81,56.96,17870,39130,118480
A5,2,Real Estate Sales Agents,1170,10.5,16.96,35270,8.48,14.51,29.34,17640,30180,61020
A5,2,Sales Engineers,130,20.3,43.93,91380,23.24,42.6,62.74,48340,88610,130500
A5,2,Telemarketers,1610,6.5,9.73,20230,7.83,9.11,11.89,16280,18940,24740
A5,2,"Sales and Related Workers, All Other",660,7.1,15.2,31620,8.32,12.48,28.27,17300,25970,58790
A5,2,Office and Administrative Support Occupations,174710,1,14.72,30620,8.56,13.38,23.13,17800,27840,48100
A5,2,First-Line Supervisors of Office and Administrative Support Workers,14720,1.7,22.11,45980,12.62,20.33,33.71,26250,42290,70130
A5,2,"Switchboard Operators, Including Answering Service",720,6.6,12.73,26480,8.8,12.07,17.78,18310,25110,36980
A5,2,Bill and Account Collectors,1810,6.3,15.68,32620,10.49,14.43,22.19,21810,30010,46160
A5,2,Billing and Posting Clerks,3860,4.6,14.83,30850,10.23,14.17,19.64,21280,29480,40850
A5,2,"Bookkeeping, Accounting, and Auditing Clerks",11800,3,16.35,34010,9.92,15.53,23.79,20630,32300,49470
A5,2,Payroll and Timekeeping Clerks,1470,4.6,16.58,34480,11.14,15.97,23.38,23170,33230,48630
A5,2,Procurement Clerks,580,7.3,19.7,40970,12.33,18.91,28.29,25640,39340,58850
A5,2,Tellers,6400,2.8,11.58,24080,8.65,11.18,14.83,17990,23240,30850
A5,2,"Financial Clerks, All Other",40,20,14.44,30030,9.07,15,18.37,18860,31200,38200
A5,2,Brokerage Clerks,230,18.9,21.53,44790,13.44,19.45,33.28,27960,40460,69230
A5,2,Correspondence Clerks,100,7.4,14.88,30940,12.04,14.41,18.73,25040,29970,38960
A5,2,"Court, Municipal, and License Clerks",1090,5.3,13.91,28920,8.92,13.21,19.71,18550,27480,41000
A5,2,"Credit Authorizers, Checkers, and Clerks",120,15.5,15.27,31770,10.72,15.1,19.59,22300,31400,40750
A5,2,Customer Service Representatives,18480,4.6,14.7,30570,8.87,13.63,21.92,18440,28350,45600
A5,2,"Eligibility Interviewers, Government Programs",1670,0.3,16.21,33720,13.73,14.5,22.36,28550,30160,46510
A5,2,File Clerks,590,7.2,11.59,24120,8.14,11.09,16.12,16920,23060,33540
A5,2,"Hotel, Motel, and Resort Desk Clerks",2590,6.2,8.69,18070,7.75,8.66,10.13,16130,18000,21080
A5,2,"Interviewers, Except Eligibility and Loan",1030,7.3,13.5,28080,8.38,11.84,21.33,17420,24630,44370
A5,2,"Library Assistants, Clerical",650,6.7,10.1,21010,7.92,9.4,13.81,16470,19550,28730
A5,2,Loan Interviewers and Clerks,1570,7.1,17.05,35460,12.02,16.32,23.62,24990,33950,49120
A5,2,New Accounts Clerks,560,9.5,14.61,30390,10.62,14.27,18.86,22100,29680,39230
A5,2,Order Clerks,990,8,14.61,30390,8.53,14.54,21.35,17750,30250,44410
A5,2,"Human Resources Assistants, Except Payroll and Timekeeping",1370,3.5,16.8,34940,10.93,16.61,23.17,22730,34560,48200
A5,2,Receptionists and Information Clerks,6490,3.6,11.39,23680,8.21,10.94,15.08,17070,22760,31360
A5,2,Reservation and Transportation Ticket Agents and Travel Clerks,420,17,16.05,33380,9.72,13.73,27.1,20220,28550,56360
A5,2,"Information and Record Clerks, All Other",970,5.8,18.18,37820,13.31,18.17,24.09,27680,37790,50120
A5,2,Cargo and Freight Agents,700,16.3,19.3,40150,11.3,17.44,29.38,23500,36280,61110
A5,2,Couriers and Messengers,490,11.1,12.3,25590,9.62,11.62,16.05,20000,24160,33380
A5,2,"Police, Fire, and Ambulance Dispatchers",1100,4.2,12.94,26920,8.75,12.84,17.76,18200,26700,36930
A5,2,"Dispatchers, Except Police, Fire, and Ambulance",1640,8,17.69,36800,10.57,16.05,26.58,21980,33390,55280
A5,2,"Meter Readers, Utilities",630,10.4,14.59,30350,8.91,13.87,21.97,18530,28850,45700
A5,2,Postal Service Clerks,1080,0,20.86,43400,12.12,19.14,27.94,25210,39800,58110
A5,2,Postal Service Mail Carriers,2910,0,24.08,50080,16.65,25.99,29.83,34640,54050,62050
A5,2,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",570,0,24.06,50040,15.63,27.29,27.31,32510,56760,56800
A5,2,"Production, Planning, and Expediting Clerks",2840,7.5,19.06,39650,9.76,18.59,29.27,20310,38670,60880
A5,2,"Shipping, Receiving, and Traffic Clerks",4400,4.2,14.39,29940,9.57,13.6,20.71,19910,28300,43070
A5,2,Stock Clerks and Order Fillers,16230,3.4,11.08,23040,7.97,9.83,16.16,16580,20440,33600
A5,2,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",870,6.3,12.76,26550,9.04,11.6,18.35,18800,24130,38170
A5,2,Executive Secretaries and Executive Administrative Assistants,2860,2.3,21.73,45190,13.55,20.83,30.89,28180,43340,64240
A5,2,Legal Secretaries,1320,16.8,15.8,32870,9.2,14.91,22.64,19130,31000,47090
A5,2,Medical Secretaries,3170,7.5,14.33,29800,9.71,13.83,19.22,20190,28760,39990
A5,2,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",19300,2.2,13.88,28880,8.7,13.14,20.3,18110,27340,42210
A5,2,Computer Operators,960,3.3,17.42,36230,12.8,17.04,23.14,26620,35450,48120
A5,2,Data Entry Keyers,1060,9.8,13.82,28740,9.77,13.41,18.8,20310,27880,39100
A5,2,Word Processors and Typists,**,**,16.43,34170,12.29,16.77,20.28,25560,34890,42190
A5,2,Desktop Publishers,30,23.2,16.52,34360,8.54,16.08,27.39,17760,33460,56960
A5,2,Insurance Claims and Policy Processing Clerks,920,9.5,16.68,34700,10.57,15.9,23.27,21980,33070,48410
A5,2,"Mail Clerks and Mail Machine Operators, Except Postal Service",410,9,13.13,27310,8.84,13.57,17.38,18390,28220,36160
A5,2,"Office Clerks, General",27930,2.1,11.9,24760,8.12,11.07,17.58,16900,23030,36560
A5,2,"Office Machine Operators, Except Computer",250,21.1,12.02,24990,8.46,11.37,17.07,17600,23640,35500
A5,2,Proofreaders and Copy Markers,80,29.5,15.72,32690,8.95,14.76,23.41,18630,30700,48690
A5,2,Statistical Assistants,30,30.3,22,45750,15.78,22.6,29.16,32810,47000,60650
A5,2,"Office and Administrative Support Workers, All Other",2240,1.8,12.19,25360,8.06,9.76,18.73,16750,20310,38960
A5,2,"Farming, Fishing, and Forestry Occupations",6240,8.6,13.61,28310,8.48,11.67,22.17,17640,24280,46110
A5,2,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",300,18.7,22.05,45870,13.26,18.88,38.8,27580,39260,80700
A5,2,Agricultural Inspectors,390,9,20.9,43470,15.04,21.55,25.6,31290,44830,53240
A5,2,"Graders and Sorters, Agricultural Products",1140,2.1,11.1,23080,9.66,10.9,13.27,20080,22670,27600
A5,2,Agricultural Equipment Operators,560,23.7,11.94,24830,8.01,10.57,17.95,16650,21990,37340
A5,2,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",1630,30.8,11.08,23050,7.97,10.36,15.34,16580,21550,31900
A5,2,"Farmworkers, Farm, Ranch, and Aquacultural Animals",670,10.7,11.32,23540,8.22,10.95,14.75,17090,22780,30670
A5,2,"Agricultural Workers, All Other",140,45.1,12.37,25740,7.96,9.48,20.66,16550,19720,42960
A5,2,Fallers,**,**,13.49,28050,9.99,11.72,20.62,20780,24380,42880
A5,2,Logging Equipment Operators,970,16.4,17.51,36420,10.07,16.45,27.93,20960,34210,58100
A5,2,Log Graders and Scalers,170,14.1,17.16,35700,10.46,17.06,23.82,21760,35480,49550
A5,2,"Logging Workers, All Other",**,**,10.42,21670,8.5,10.4,11.76,17680,21640,24470
A5,2,Construction and Extraction Occupations,45820,2,17.36,36110,9.83,15.97,26.69,20460,33220,55520
A5,2,First-Line Supervisors of Construction Trades and Extraction Workers,5220,4.6,25.83,53730,15.78,23.28,40.18,32820,48420,83570
A5,2,Brickmasons and Blockmasons,480,7.6,17.92,37280,12.34,18,24.01,25680,37440,49950
A5,2,Stonemasons,50,31.8,18.57,38630,13.67,17.29,24.15,28420,35970,50230
A5,2,Carpenters,4290,5.9,16.38,34070,10.33,16.06,22.95,21490,33400,47730
A5,2,Carpet Installers,150,40.2,11.11,23120,8.06,10.28,16.42,16770,21390,34160
A5,2,Floor Sanders and Finishers,**,**,12.35,25700,9.46,10.88,18.39,19690,22620,38260
A5,2,Tile and Marble Setters,80,42,14.05,29210,10.25,13.68,18.51,21320,28460,38510
A5,2,Cement Masons and Concrete Finishers,1110,11.1,15.72,32700,12.14,15.74,19.49,25260,32730,40530
A5,2,Construction Laborers,7490,5.3,12.1,25160,8.23,11.59,17.01,17120,24100,35370
A5,2,"Paving, Surfacing, and Tamping Equipment Operators",1210,5.4,16.41,34130,11.11,14.83,24.65,23110,30840,51260
A5,2,Operating Engineers and Other Construction Equipment Operators,3590,6.4,16.86,35070,11.31,16.11,23.88,23520,33510,49670
A5,2,Drywall and Ceiling Tile Installers,480,19.1,14.87,30930,10.19,14.01,20.14,21190,29150,41890
A5,2,Electricians,5260,6.1,20.31,42240,11.75,19.94,29.49,24440,41480,61340
A5,2,Glaziers,450,23.3,16.83,35000,12.05,16.93,22.47,25060,35210,46750
A5,2,"Insulation Workers, Floor, Ceiling, and Wall",210,41.3,14.5,30170,8.84,13.85,21.01,18380,28820,43710
A5,2,"Insulation Workers, Mechanical",160,19.7,16.47,34260,10.19,15.06,24.03,21180,31320,49990
A5,2,"Painters, Construction and Maintenance",1090,15.9,15.96,33190,10.73,15.51,22.46,22320,32260,46710
A5,2,Pipelayers,460,17.5,15.57,32380,10.43,14.19,22.95,21700,29510,47740
A5,2,"Plumbers, Pipefitters, and Steamfitters",3040,11.1,17.51,36430,11.2,17,24.36,23290,35360,50670
A5,2,Plasterers and Stucco Masons,60,40.8,17.38,36140,15.5,17.3,19.63,32240,35990,40840
A5,2,Roofers,720,10.3,15.48,32200,9.83,14.73,22.42,20440,30650,46630
A5,2,Sheet Metal Workers,1360,12.2,16.81,34960,10.93,16.4,23.5,22730,34110,48880
A5,2,Structural Iron and Steel Workers,830,22.7,19.62,40810,12.59,18.38,28.66,26190,38230,59610
A5,2,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",290,11.9,10.39,21610,8,10.08,13.85,16650,20970,28820
A5,2,Helpers--Carpenters,360,11.9,11.59,24100,8.18,11.3,15.73,17010,23510,32710
A5,2,Helpers--Electricians,360,15.8,11.51,23940,8.09,10.92,16.7,16840,22720,34750
A5,2,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",220,34.3,11.01,22890,8.06,10.92,14.37,16770,22710,29900
A5,2,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",430,18.6,11.24,23370,8.05,10.33,15.59,16740,21490,32430
A5,2,Helpers--Roofers,210,15.7,10.94,22750,8.03,10.28,14.27,16690,21380,29690
A5,2,"Helpers, Construction Trades, All Other",320,20.5,14.45,30060,8.83,14.94,21.27,18370,31070,44250
A5,2,Construction and Building Inspectors,550,8.5,22.28,46350,14.4,21.72,32.1,29940,45170,66760
A5,2,Elevator Installers and Repairers,60,27.1,31.81,66160,16.63,33.89,46.1,34590,70500,95900
A5,2,Fence Erectors,**,**,14.25,29640,8.71,12.57,22.27,18110,26150,46320
A5,2,Hazardous Materials Removal Workers,160,21.8,13.47,28010,9.46,13.33,18.1,19690,27730,37650
A5,2,Highway Maintenance Workers,1730,6.4,13.6,28280,9.59,13.45,18.34,19950,27980,38150
A5,2,Rail-Track Laying and Maintenance Equipment Operators,140,9.2,27.09,56340,19.73,26.62,37.91,41040,55360,78850
A5,2,Septic Tank Servicers and Sewer Pipe Cleaners,120,19,14.54,30250,9.97,13.72,21.1,20740,28540,43880
A5,2,"Derrick Operators, Oil and Gas",240,22.6,25.63,53300,17.28,23.88,35.68,35950,49670,74220
A5,2,"Rotary Drill Operators, Oil and Gas",110,17,24.29,50520,11.96,25.87,29.4,24890,53820,61150
A5,2,"Service Unit Operators, Oil, Gas, and Mining",650,15.9,22.79,47410,12.97,22.72,30.16,26980,47250,62740
A5,2,"Earth Drillers, Except Oil and Gas",220,33.4,*,*,*,*,*,*,*,*
A5,2,"Explosives Workers, Ordnance Handling Experts, and Blasters",130,5.7,19,39520,15.95,18.58,22.55,33170,38640,46890
A5,2,Continuous Mining Machine Operators,190,15.3,16.04,33360,12.3,15.84,21,25580,32950,43680
A5,2,Mine Cutting and Channeling Machine Operators,**,**,18.63,38740,11.82,18.67,25.25,24590,38840,52530
A5,2,"Rock Splitters, Quarry",**,**,16.38,34080,12.07,16.62,21.76,25100,34570,45250
A5,2,"Roustabouts, Oil and Gas",540,20.6,20.26,42130,11.84,18.2,30.77,24630,37850,63990
A5,2,Helpers--Extraction Workers,260,27.9,15.26,31730,12.16,14.97,18.58,25280,31130,38640
A5,2,"Installation, Maintenance, and Repair Occupations",51120,1.8,19,39520,9.87,17.43,30.48,20520,36260,63410
A5,2,"First-Line Supervisors of Mechanics, Installers, and Repairers",4750,3.1,26.74,55620,15.81,25.6,40.27,32890,53250,83750
A5,2,"Computer, Automated Teller, and Office Machine Repairers",890,14.7,16.11,33510,10.7,14.78,23.15,22250,30750,48160
A5,2,"Radio, Cellular, and Tower Equipment Installers and Repairers",**,**,23.26,48380,12.8,22.77,36.31,26620,47360,75510
A5,2,"Telecommunications Equipment Installers and Repairers, Except Line Installers",1700,9.8,24.58,51120,13.85,24.78,35.94,28800,51540,74750
A5,2,Avionics Technicians,130,38,24.29,50530,15.48,23.61,34.99,32200,49110,72780
A5,2,"Electric Motor, Power Tool, and Related Repairers",330,25.1,20.04,41680,10.36,17.49,34.59,21540,36380,71940
A5,2,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",450,13.6,22.65,47100,14.06,22.67,30.38,29250,47160,63190
A5,2,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",90,21.4,36.41,75740,29.36,36.24,46.15,61080,75380,95990
A5,2,"Electronic Equipment Installers and Repairers, Motor Vehicles",**,**,13.25,27560,8.61,13.3,18.18,17900,27650,37820
A5,2,Electronic Home Entertainment Equipment Installers and Repairers,260,24.1,13.94,28990,8.75,12.86,21.72,18190,26750,45180
A5,2,Security and Fire Alarm Systems Installers,490,18.5,15.69,32640,11.06,15.36,21.43,23010,31940,44570
A5,2,Aircraft Mechanics and Service Technicians,800,24.8,23.79,49490,15.55,23.07,30.64,32340,47980,63730
A5,2,Automotive Body and Related Repairers,1190,9.7,16.93,35220,8.99,15.96,25.77,18710,33200,53600
A5,2,Automotive Glass Installers and Repairers,170,25.9,13.67,28430,8.68,13.58,18.87,18060,28240,39250
A5,2,Automotive Service Technicians and Mechanics,4780,5.6,16.38,34080,9.36,15.32,26.15,19460,31870,54390
A5,2,Bus and Truck Mechanics and Diesel Engine Specialists,3080,10.1,18.53,38540,12.08,17.27,27.53,25120,35920,57260
A5,2,Farm Equipment Mechanics and Service Technicians,910,13.9,16.42,34160,9.64,16.35,23.61,20050,34010,49110
A5,2,"Mobile Heavy Equipment Mechanics, Except Engines",960,9.7,18.64,38770,11.45,18.43,25.68,23820,38320,53410
A5,2,Rail Car Repairers,310,22.5,27.5,57210,14.52,28.7,37.72,30200,59700,78470
A5,2,Motorboat Mechanics and Service Technicians,180,20.3,16.07,33430,10.37,16.07,22.46,21570,33420,46720
A5,2,Motorcycle Mechanics,180,24.9,13.38,27830,9.03,13.15,18.06,18790,27360,37560
A5,2,Outdoor Power Equipment and Other Small Engine Mechanics,330,23.5,15.1,31400,8.86,14.69,22.61,18430,30550,47030
A5,2,Bicycle Repairers,**,**,11.05,22980,8.08,10.24,15.7,16810,21290,32660
A5,2,Recreational Vehicle Service Technicians,160,34.1,17.43,36240,9.88,17.6,24.08,20540,36610,50080
A5,2,Tire Repairers and Changers,1200,11.3,11.36,23630,8.06,10.46,16.46,16760,21760,34230
A5,2,Mechanical Door Repairers,**,**,13.55,28190,10.05,13.16,17.9,20900,27370,37240
A5,2,"Control and Valve Installers and Repairers, Except Mechanical Door",460,17.1,24.34,50630,15.62,23,35.56,32500,47850,73960
A5,2,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",2510,9.3,17.62,36650,10.21,17.01,26.8,21240,35380,55750
A5,2,Home Appliance Repairers,200,33.1,16.21,33720,8.8,16.22,23,18300,33740,47830
A5,2,Industrial Machinery Mechanics,4460,6.3,22.02,45810,13.49,20.85,33.06,28060,43360,68760
A5,2,"Maintenance Workers, Machinery",700,8.4,18.77,39050,9.91,19.28,27.55,20600,40110,57300
A5,2,Millwrights,600,13.2,20.36,42350,13.64,19.15,29.38,28360,39840,61120
A5,2,"Refractory Materials Repairers, Except Brickmasons",50,18.6,*,*,*,*,*,*,*,*
A5,2,Electrical Power-Line Installers and Repairers,1530,10.2,29.53,61420,17.96,31.31,37.68,37360,65120,78380
A5,2,Telecommunications Line Installers and Repairers,990,14.7,23.28,48420,13.04,20.84,36.3,27130,43340,75500
A5,2,Medical Equipment Repairers,380,18.6,17.56,36520,11.61,16.2,25.27,24150,33700,52550
A5,2,Musical Instrument Repairers and Tuners,40,38.9,18.56,38600,9.39,17.06,29.07,19540,35480,60460
A5,2,"Precision Instrument and Equipment Repairers, All Other",50,26.1,19.3,40150,14.97,18.16,25.26,31130,37780,52550
A5,2,"Maintenance and Repair Workers, General",12550,2.6,15.38,32000,8.73,14.71,23.42,18150,30610,48710
A5,2,"Coin, Vending, and Amusement Machine Servicers and Repairers",250,23.1,13.89,28880,10.35,13.69,18.12,21520,28480,37690
A5,2,Locksmiths and Safe Repairers,100,28.4,15.01,31220,10.15,14.31,21.81,21100,29770,45370
A5,2,Riggers,90,38.2,13.62,28320,10.21,12.22,20.36,21240,25420,42350
A5,2,Signal and Track Switch Repairers,160,26.8,30.57,63580,22.61,31.36,38.38,47030,65230,79830
A5,2,"Helpers--Installation, Maintenance, and Repair Workers",1150,10.2,12.51,26030,8.21,11.48,18.51,17080,23880,38500
A5,2,"Installation, Maintenance, and Repair Workers, All Other",910,11.3,19.33,40210,11.07,18.49,28.5,23020,38450,59280
A5,2,Production Occupations,113950,2.3,15.4,32030,9.07,13.83,23.79,18870,28760,49490
A5,2,First-Line Supervisors of Production and Operating Workers,8030,2.8,24.73,51440,13.69,22.85,38.78,28480,47530,80670
A5,2,"Coil Winders, Tapers, and Finishers",550,25,17.95,37330,15.03,17.62,22.78,31270,36640,47390
A5,2,Electrical and Electronic Equipment Assemblers,980,15,16.42,34140,10.37,16.44,23.17,21570,34190,48190
A5,2,Electromechanical Equipment Assemblers,50,10.2,15.36,31940,10.5,14,22.55,21850,29120,46900
A5,2,Engine and Other Machine Assemblers,**,**,15.1,31410,8.21,11.69,27.54,17080,24320,57270
A5,2,Structural Metal Fabricators and Fitters,1570,15.4,15.91,33090,10.66,15.33,22.43,22170,31880,46650
A5,2,Fiberglass Laminators and Fabricators,820,26.7,12.97,26970,8.75,12.7,18.28,18200,26420,38020
A5,2,Team Assemblers,13150,7.9,13.4,27860,8.76,12.91,18.97,18230,26850,39450
A5,2,"Assemblers and Fabricators, All Other",1540,10.8,12.08,25140,8.26,11.25,17.65,17190,23410,36710
A5,2,Bakers,1130,12.8,10,20800,7.89,9.26,13.79,16410,19260,28690
A5,2,Butchers and Meat Cutters,1140,8.9,12.06,25080,8.64,11.21,17.37,17970,23310,36120
A5,2,"Meat, Poultry, and Fish Cutters and Trimmers",7470,5.3,11.08,23040,9.26,10.96,13.89,19260,22790,28890
A5,2,Slaughterers and Meat Packers,2080,19.4,11.13,23160,9.01,10.9,14.22,18750,22670,29570
A5,2,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",230,26.2,11.83,24610,8,9.75,18.13,16630,20290,37720
A5,2,Food Batchmakers,1720,10.9,11.78,24500,8.68,11.15,16.48,18050,23180,34280
A5,2,Food Cooking Machine Operators and Tenders,800,9.7,13.87,28860,8.8,14.54,18.46,18310,30250,38400
A5,2,"Food Processing Workers, All Other",2830,4.3,11.05,22990,9.01,10.87,14.01,18740,22610,29130
A5,2,"Computer-Controlled Machine Tool Operators, Metal and Plastic",1550,23.2,17.16,35680,10.08,17.46,23.63,20970,36310,49160
A5,2,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",170,18.5,18.05,37540,13.27,17.26,23.81,27600,35910,49530
A5,2,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",670,14.4,16.33,33970,9.96,16.7,22.45,20720,34730,46700
A5,2,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",100,26.2,15.18,31570,8.75,16.13,18.86,18200,33540,39230
A5,2,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",180,36.3,19.13,39800,12.36,18.46,28.09,25710,38400,58420
A5,2,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",2890,9.5,15.95,33190,10.83,15.83,21.96,22530,32930,45690
A5,2,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",110,11.7,15.46,32150,10.74,14.79,21.83,22350,30760,45420
A5,2,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",690,13.4,14.45,30060,9.21,13.54,21.29,19170,28160,44290
A5,2,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",170,19.1,15.44,32110,9.48,15.33,22.37,19730,31890,46530
A5,2,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",190,26.3,18.99,39490,10.38,19.64,27.55,21580,40860,57300
A5,2,Machinists,2850,7.2,18.42,38320,11.92,17.84,27.09,24800,37110,56340
A5,2,Metal-Refining Furnace Operators and Tenders,280,17,20.93,43530,11.06,20.88,29.48,23000,43420,61330
A5,2,"Pourers and Casters, Metal",130,45.4,19.29,40130,12.75,19.51,26.31,26530,40590,54720
A5,2,"Patternmakers, Metal and Plastic",50,36.9,18.84,39190,10.64,18.84,28.12,22130,39190,58490
A5,2,Foundry Mold and Coremakers,40,30,15.78,32810,9.73,15.73,19.18,20250,32710,39890
A5,2,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",1770,15.3,14.24,29610,9.85,13.57,19.4,20500,28230,40360
A5,2,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1550,16.5,17.08,35520,11.22,17.08,23.05,23340,35520,47950
A5,2,Tool and Die Makers,560,13.9,20.98,43630,14.05,21.16,28.5,29230,44020,59280
A5,2,"Welders, Cutters, Solderers, and Brazers",4770,5.3,17.52,36430,11.77,16.31,25.64,24470,33920,53340
A5,2,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",1440,4.4,17.17,35720,13.29,17.12,21.98,27650,35620,45710
A5,2,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",250,18.7,16.9,35160,10.94,16.46,23.27,22750,34240,48390
A5,2,"Layout Workers, Metal and Plastic",40,42.8,19.04,39590,11.35,18.68,27.96,23620,38860,58160
A5,2,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",390,18.6,14.13,29390,10.09,13.89,18.58,21000,28900,38660
A5,2,"Tool Grinders, Filers, and Sharpeners",150,12.9,16.95,35250,10.95,16.86,23.31,22780,35070,48490
A5,2,"Metal Workers and Plastic Workers, All Other",70,36.5,16.08,33450,12.24,14.78,22.91,25460,30740,47660
A5,2,Prepress Technicians and Workers,280,19.8,16.58,34490,10.18,16.15,23.75,21180,33580,49400
A5,2,Printing Press Operators,1300,6.8,14.46,30080,8.72,13.69,22.29,18140,28480,46360
A5,2,Print Binding and Finishing Workers,320,25.3,13.98,29070,10.16,13.59,18.73,21130,28270,38950
A5,2,Laundry and Dry-Cleaning Workers,1740,7.1,9.14,19020,7.79,8.8,11.45,16200,18300,23810
A5,2,"Pressers, Textile, Garment, and Related Materials",420,15.2,8.93,18570,7.79,8.82,11.1,16210,18340,23090
A5,2,Sewing Machine Operators,860,7.1,10.87,22610,8.09,10.52,14.58,16820,21870,30340
A5,2,Shoe Machine Operators and Tenders,540,9.2,10.21,21230,8.04,10.1,13.28,16720,21010,27620
A5,2,"Sewers, Hand",**,**,10.78,22420,9.85,10.84,11.84,20490,22550,24620
A5,2,"Tailors, Dressmakers, and Custom Sewers",140,25.1,10.43,21690,8.01,10.07,14.17,16650,20950,29460
A5,2,"Textile Cutting Machine Setters, Operators, and Tenders",90,4.4,11.3,23500,8.23,10.69,14.79,17110,22230,30770
A5,2,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",100,10.7,13.24,27550,10.41,13.55,15.12,21650,28180,31460
